FileName,InvertedFlag,EmotionType
./S1/E3/SHINEd_fear_00033.jpg,1,2
./S1/E3/SHINEd_fear_00035.jpg,1,2
./S1/E3/SHINEd_happy_00046.jpg,1,1
./S1/E3/SHINEd_happy_00036.jpg,1,1
./S1/E3/SHINEd_anger_00035.jpg,1,3
./S1/E3/SHINEd_fear_00039.jpg,1,2
./S1/E3/SHINEd_anger_00038.jpg,1,3
./S1/E3/SHINEd_neutral_00039.jpg,1,4
./S1/E3/SHINEd_fear_00044.jpg,1,2
./S1/E3/SHINEd_anger_00043.jpg,1,3
./S1/E3/SHINEd_happy_00033.jpg,1,1
./S1/E3/SHINEd_happy_00034.jpg,1,1
./S1/E3/SHINEd_neutral_00034.jpg,1,4
./S1/E3/SHINEd_fear_00042.jpg,1,2
